company,mdna_total_words,mdna_Negative,mdna_Negative_pct,mdna_Positive,mdna_Positive_pct,mdna_Uncertainty,mdna_Uncertainty_pct,mdna_Litigious,mdna_Litigious_pct,mdna_Constraining,mdna_Constraining_pct,risk_total_words,risk_Negative,risk_Negative_pct,risk_Positive,risk_Positive_pct,risk_Uncertainty,risk_Uncertainty_pct,risk_Litigious,risk_Litigious_pct,risk_Constraining,risk_Constraining_pct,riskcount_market_risk,riskcount_credit_risk,riskcount_operational_risk,riskcount_regulatory_risk,riskcount_competitive_risk,riskcount_liquidity_risk,riskcount_cybersecurity_risk
accenture,6483,61,0.941,47,0.725,91,1.404,52,0.802,32,0.494,13910,614,4.414,145,1.042,513,3.688,304,2.185,123,0.884,0,1,9,30,7,3,3
caterpillar,29091,630,2.166,187,0.643,577,1.983,270,0.928,220,0.756,11060,389,3.517,69,0.624,345,3.119,176,1.591,115,1.04,17,4,3,16,1,17,6
infosys,672,5,0.744,2,0.298,10,1.488,2,0.298,2,0.298,3563,8,0.225,60,1.684,29,0.814,4,0.112,3,0.084,0,0,0,3,1,1,7
jpmorgan,91,0,0.0,0,0.0,5,5.495,1,1.099,0,0.0,19339,1137,5.879,89,0.46,578,2.989,385,1.991,229,1.184,21,21,9,75,10,22,19
pg,13307,249,1.871,138,1.037,239,1.796,50,0.376,76,0.571,5599,268,4.787,58,1.036,173,3.09,69,1.232,48,0.857,0,1,3,12,4,3,6
